COUNTRY,GLOBAL MARKET,QUANTITY,S.NO.,SALES CHANNEL,CUSTOMER NAME,PAYMENT METHOD,SALES MODEL,CATEGORY,PAYMENT STATUS,SHIPPING STATUS,UNIT PRICE,TOTAL REVENUE,DISCOUNT AMOUNT,DISCOUNT APPLIED,TAX APPLIED,TAX AMOUNT,NET SALES,GROSS SALES,PROFIT,ORDER DATE,DELIVERY DATE,RATING,REFERRAL SOURCE ,REPEAT PURCHASE,COURIER PARTNER,AVERAGE ORDER VALUE,CITY,CUSTOMER TYPE,DELIVERY TYPE,SUB CATEGORY,CURRENCY,COUPON CODE USED,SOURCE OF TRAFFIC,STOCK AVAILIBILITY,CUSTOMER REVIEW COMMENT,SHIPPING AMOUNT,EMI STATUS,CUSTOMER AGE 
India,2.4,264,262,Myntra,Lila Foley,Debit Card,B2C,accessories,Paid,RETURNED,38182,10080048,5727.3,15%,18%,1814408.64,10074320.7,32454.7,8265639.36,19-09-2023,23-09-2023,4.6,Direct,yes,FedEx,38182,delhi,RETURNING,STANDARD,Gloves & Mittens,Indian Rupee,yes,google ads,yes,BAD,381.82,BNPL (Buy Now Pay Later),23
Germany,2.1,211,263,media market,Hiba Yilmaz,Digital Wallets,B2C,gaming,Pending,IN TRANSIT,33741,7119351,5061.15,15%,18%,1281483.18,7114289.85,28679.85,5837867.82,20-09-2023,24-09-2023,4.4,Social Media,no,DHL Express,33741,Hamburg,NEW,Next-Day Delivery,playStation,Euro,no,directly,no,GOOD,337.41,EMI Declined,42
Indonesia,1.2,250,264,Shopee,Mira Reddy,BNPL,B2C AND C2C,clothing,Paid,IN TRANSIT,34502,8625500,5175.3,15%,18%,1552590,8620324.7,29326.7,7072910,21-09-2023,25-09-2023,1.7,Direct,no,Blue Dart,34502,jakarta,RETURNING,International Delivery,Dresses,Indonesian Rupiah,yes,email,yes,WORST,345.02,BNPL (Buy Now Pay Later),18
Canada,1.5,266,265,Best Buy,Oscar Vaughn,UPI,B2C,tech gadgets,Cancelled,RETURNED,49559,13182694,7433.85,15%,18%,2372884.92,13175260.15,42125.15,10809809.08,22-09-2023,26-09-2023,1,Social Media,yes,FedEx,49559,Toronto,NEW,EXPRESS,Pop Sockets,Dollar,no,Social Media,no,EXCELLENT,495.59,Debit Card EMI,20
South Korea,4.2,275,266,Naver Shopping,Nia Harrington,Digital Wallets,B2C AND C2C,home goods,Pending,DELIVERED,46584,12810600,6987.6,15%,18%,2305908,12803612.4,39596.4,10504692,23-09-2023,27-09-2023,1.5,app,yes,Shadowfax,46584,Busan,RETURNING,International Delivery,Home Storage & Organization,South Korean Won,yes,google ads,no,GOOD,465.84,Not Available,31
India,2.4,167,267,Flipkart,Nia Abdul,Credit Card,B2C AND C2C,BOOKS,Refunded,DELIVERED,40094,6695698,6014.1,15%,18%,1205225.64,6689683.9,34079.9,5490472.36,24-09-2023,28-09-2023,2,Website,no,DHL Express,40094,mumbai,NEW,Next-Day Delivery,Academic & Educational,Indian Rupee,no,directly,yes,BAD,400.94,YES,30
Germany,2.1,183,268,OTTO,Malachi Schneider,Payment Gateways,B2C,fashion,Cancelled,RETURNED,35627,6519741,5344.05,15%,18%,1173553.38,6514396.95,30282.95,5346187.62,25-09-2023,29-09-2023,0.3,app,yes,Ecom Express,35627,Berlin,RETURNING,EXPRESS,Sneakers,Euro,yes,YouTube ads,yes,GOOD,356.27,NO,39
Indonesia,1.2,164,269,Lazada,Yasmin Fontaine,COD,B2C AND C2C,baby products,Failed,IN TRANSIT,24246,3976344,3636.9,15%,18%,715741.92,3972707.1,20609.1,3260602.08,26-09-2023,30-09-2023,3.6,Website,no,Xpressbees,24246,jakarta,NEW,STANDARD,Baby Lotion & Oil,Indonesian Rupiah,yes,Influencer blogs,no,WORST,242.46,BNPL (Buy Now Pay Later),32
Canada,1.5,216,270,Walmart CA,Kenzo Harrington,Cryptocurreny,B2C,Grocery,Refunded,DELIVERED,30489,6585624,4573.35,15%,18%,1185412.32,6581050.65,25915.65,5400211.68,27-09-2023,01-10-2023,4.5,Direct,yes,DTDC,30489,vancouver,RETURNING,International Delivery,fruits & Vegetables,Dollar,no,Influencer Marketing,no,EXCELLENT,304.89,Pre-Approved EMI,41
Australia,1,136,271,Woolworths,Ayden Shah,UPI,B2C,household,Cancelled,DELIVERED,46480,6321280,6972,15%,18%,1137830.4,6314308,39508,5183449.6,28-09-2023,02-10-2023,2.4,Social Media,no,FedEx,46480,Melbourne,NEW,Next-Day Delivery,Air fresheners,Dollar,no,google ads,yes,GOOD,464.8,YES,33
Brazil,1.3,131,272,Magalu,Kairo Noorani,Debit Card,B2C,furniture,Paid,RETURNED,22903,3000293,3435.45,15%,18%,540052.74,2996857.55,19467.55,2460240.26,29-09-2023,03-10-2023,4,Website,yes,Blue Dart,22903,São Paulo,RETURNING,STANDARD,Wardrobes,Brazilian Real,yes,email,no,BAD,229.03,Debit Card EMI,23
Mexico,1.2,201,273,Liverpool,Silas Hussain,Cryptocurreny,B2C,Apparel,Pending,IN TRANSIT,40479,8136279,6071.85,15%,18%,1464530.22,8130207.15,34407.15,6671748.78,30-09-2023,04-10-2023,5,app,yes,Xpressbees,40479,Guadalajara,RETURNING,EXPRESS,Baby & Toddler,Mexican Peso,no,Influencer blogs,no,EXCELLENT,404.79,Card EMI,42
italy,0.8,278,274,Zalando,Keenan Rivera,COD,B2C,shoes,Paid,DELIVERED,48343,13439354,7251.45,15%,18%,2419083.72,13432102.55,41091.55,11020270.28,01-10-2023,05-10-2023,2.1,app,no,DTDC,48343,Rome,RETURNING,Locker Delivery,Sneakers,Euro,no,Influencer Marketing,yes,WORST,483.43,Pre-Approved EMI,50
Russia,0.7,297,275,Wildberries,Mei Sato,Credit Card,B2C AND C2C,clothing,Cancelled,RETURNED,28845,8566965,4326.75,15%,18%,1542053.7,8562638.25,24518.25,7024911.3,02-10-2023,06-10-2023,1.6,Website,no,Xpressbees,28845,Moscow,NEW,Scheduled Delivery,T-Shirts & Polos,Russian Ruble,yes,YouTube ads,yes,EXCELLENT,288.45,Not Available,21
Spain,0.7,141,276,El Corte Inglés,Indira Yilmaz,Payment Gateways,B2C,Luxury goods,Pending,IN TRANSIT,45032,6349512,6754.8,15%,18%,1142912.16,6342757.2,38277.2,5206599.84,03-10-2023,07-10-2023,2.7,Website,yes,DTDC,45032,Barcelona,RETURNING,Next-Day Delivery,Luxury Watches,Euro,yes,directly,no,GOOD,450.32,Yes,40
Turkey,0.6,217,277,Trendyol,Mateo Dupont,UPI,B2C,fashion,Refunded,IN TRANSIT,42371,9194507,6355.65,15%,18%,1655011.26,9188151.35,36015.35,7539495.74,04-10-2023,08-10-2023,3.8,Direct,yes,Shadowfax,42371,Istanbul,RETURNING,International Delivery,Sunglasses,Turkish Lira,no,email,yes,BAD,423.71,No,47
Netherlands,0.5,114,278,Bol.com,Yusuf Bakshi,BNPL,B2C AND C2C,HOME,Cancelled,RETURNED,27776,3166464,4166.4,15%,18%,569963.52,3162297.6,23609.6,2596500.48,05-10-2023,09-10-2023,4.9,Social Media,yes,FedEx,27776,Amsterdam,RETURNING,International Delivery,Kitchen & Dining,Euro,yes,YouTube ads,yes,GOOD,277.76,Not Available,38
Sweden,0.5,250,279,CDON,Ivy Davis,COD,B2C AND C2C,fitness,Failed,DELIVERED,46325,11581250,6948.75,15%,18%,2084625,11574301.25,39376.25,9496625,06-10-2023,10-10-2023,3.3,Social Media,no,FedEx,46325,Stockholm,NEW,Next-Day Delivery,Yoga Mats,Swedish Krona,yes,email,no,WORST,463.25,Pre-Approved EMI,43
singapore,0.4,127,280,Amazon SG,Andre Dubois,Payment Gateways,B2C,Grocery,Refunded,DELIVERED,43205,5487035,6480.75,15%,18%,987666.3,5480554.25,36724.25,4499368.7,07-10-2023,11-10-2023,1.2,Direct,yes,DHL Express,43205,singapore,RETURNING,Scheduled Delivery,Dairy & Eggs,dollar,no,Social Media,yes,EXCELLENT,432.05,Yes,36
France,2.6,179,281,Fnac,Noor Walker,Debit Card,B2C,Appliances,Cancelled,RETURNED,33053,5916487,4957.95,15%,18%,1064967.66,5911529.05,28095.05,4851519.34,08-10-2023,12-10-2023,2.5,app,no,Blue Dart,33053,Paris,NEW,Locker Delivery,Refrigerators,Euro,yes,directly,no,WORST,330.53,No,27
Australia,1,217,282,Catch,Isabella Lim,Cryptocurreny,B2C,daily deals,Paid,IN TRANSIT,42090,9133530,6313.5,15%,18%,1644035.4,9127216.5,35776.5,7489494.6,09-10-2023,13-10-2023,1.1,Website,no,Shadowfax,42090,sydney,RETURNING,EXPRESS,Today Only Deals,Dollar,no,google ads,yes,GOOD,420.9,Not Available,34
Brazil,1.3,236,283,Mercado Livre,Elise Dubois,COD,B2C AND C2C,ELECTRONICS,Pending,DELIVERED,46041,10865676,6906.15,15%,18%,1955821.68,10858769.85,39134.85,8909854.32,10-10-2023,14-10-2023,2.3,Social Media,yes,DHL Express,46041,Rio de Janeiro,NEW,STANDARD,Streaming Devices,Brazilian Real,yes,Influencer blogs,no,BAD,460.41,Pre-Approved EMI,25
Mexico,1.2,198,284,Liverpool,Thiago Bennett,Credit Card,B2C,beauty,Paid,DELIVERED,21321,4221558,3198.15,15%,18%,759880.44,4218359.85,18122.85,3461677.56,11-10-2023,15-10-2023,4.6,Direct,yes,Ecom Express,21321,Mexico City,RETURNING,EXPRESS,Toners & Mists,mexican Peso,no,Influencer Marketing,yes,WORST,213.21,Card EMI,22
italy,0.8,273,285,ePrice,Kian Dubois,Payment Gateways,B2C,computers,Cancelled,DELIVERED,31677,8647821,4751.55,15%,18%,1556607.78,8643069.45,26925.45,7091213.22,12-10-2023,16-10-2023,4.4,Social Media,yes,Xpressbees,31677,Milan,NEW,STANDARD,Laptops & Notebooks,Euro,yes,directly,no,EXCELLENT,316.77,Debit Card EMI,29
Russia,0.7,269,286,Ozon,Imani Pereira,UPI,B2C AND C2C,home goods,Pending,IN TRANSIT,41224,11089256,6183.6,15%,18%,1996066.08,11083072.4,35040.4,9093189.92,13-10-2023,17-10-2023,1.7,Direct,no,DTDC,41224,Saint Petersburg,RETURNING,Locker Delivery,Home Décor,Russian Ruble,no,directly,yes,GOOD,412.24,Bank EMI,45
Spain,0.7,287,287,PCComponentes,Maira Barrett,BNPL,B2C,computer parts,Refunded,RETURNED,44756,12844972,6713.4,15%,18%,2312094.96,12838258.6,38042.6,10532877.04,14-10-2023,18-10-2023,2.9,Website,yes,FedEx,44756,madrid,NEW,Next-Day Delivery,Networking Devices,Euro,yes,google ads,no,BAD,447.56,BNPL (Buy Now Pay Later),49
Turkey,0.6,277,288,N11,Kian Rossi,COD,B2C AND C2C,auto parts,Cancelled,RETURNED,21457,5943589,3218.55,15%,18%,1069846.02,5940370.45,18238.45,4873742.98,15-10-2023,19-10-2023,3.9,app,no,Blue Dart,21457,Ankara,RETURNING,International Delivery,Brakes,Turkish Lira,no,Influencer blogs,yes,WORST,214.57,EMI Declined,48
Netherlands,0.5,212,289,Coolblue,Micah Mori,Payment Gateways,B2C,smartphones,Failed,IN TRANSIT,49980,10595760,7497,15%,18%,1907236.8,10588263,42483,8688523.2,16-10-2023,20-10-2023,4.7,Website,yes,FedEx,49980,Rotterdam,NEW,Scheduled Delivery,Apple,Euro,yes,Influencer Marketing,no,EXCELLENT,499.8,BNPL (Buy Now Pay Later),44
Sweden,0.5,236,290,Elgiganten,Anjali Lin,Net Banking,B2C,computers,Refunded,DELIVERED,20199,4766964,3029.85,15%,18%,858053.52,4763934.15,17169.15,3908910.48,17-10-2023,21-10-2023,3.5,app,no,Blue Dart,20199,Gothenburg,RETURNING,EXPRESS,Desktops,Swedish Krona,no,directly,yes,GOOD,201.99,Debit Card EMI,46
singapore,0.4,190,291,Qoo10,Liora Gonzalez,Debit Card,B2C AND C2C,korean goods,Cancelled,IN TRANSIT,33370,6340300,5005.5,15%,18%,1141254,6335294.5,28364.5,5199046,18-10-2023,22-10-2023,1.8,Direct,yes,Ecom Express,33370,singapore,NEW,STANDARD,Korean Sauces,Dollar,yes,email,no,BAD,333.7,Not Available,37
France,2.6,139,292,Amazon FR,Ari Hollis,Digital Wallets,B2C AND C2C,home goods,Paid,RETURNED,49500,6880500,7425,15%,18%,1238490,6873075,42075,5642010,19-10-2023,23-10-2023,4.2,Social Media,yes,FedEx,49500,Marseille,RETURNING,Next-Day Delivery,Home Storage & Organization,Euro,no,Social Media,yes,GOOD,495,YES,28
China,50,175,293,Alibaba,Zaina Desai,BNPL,B2B,Raw materials,Pending,DELIVERED,26833,4695775,4024.95,15%,18%,845239.5,4691750.05,22808.05,3850535.5,20-10-2023,24-10-2023,3,Social Media,no,DTDC,26833,Shanghai,RETURNING,International Delivery,Chemicals & Solvents,Chinese Yuan,yes,google ads,yes,WORST,268.33,NO,26
US,27,281,294,Amazon,Ayden Richardson,UPI,B2C AND C2C,HOME,Paid,IN TRANSIT,47234,13272754,7085.1,15%,18%,2389095.72,13265668.9,40148.9,10883658.28,21-10-2023,25-10-2023,3.8,Direct,no,Ecom Express,47234,Los Angeles,RETURNING,EXPRESS,Kitchen & Dining,Dollar,no,directly,no,EXCELLENT,472.34,CARD EMI,24
China,50,167,295,Tmall,Zion Amini,Digital Wallets,B2C,Luxury goods,Cancelled,IN TRANSIT,32731,5466077,4909.65,15%,18%,983893.86,5461167.35,27821.35,4482183.14,22-10-2023,26-10-2023,4.9,app,yes,Ecom Express,32731,Shenzhen,RETURNING,Locker Delivery,Designer Handbags,Chinese Yuan,yes,YouTube ads,no,GOOD,327.31,Bank EMI,19
US,27,261,296,Amazon,Gemma Darwish,Credit Card,B2C AND C2C,ELECTRONICS,Pending,DELIVERED,32863,8577243,4929.45,15%,18%,1543903.74,8572313.55,27933.55,7033339.26,23-10-2023,27-10-2023,3.3,Website,yes,Shadowfax,32863,New York City,RETURNING,International Delivery,Earphones & Headphones,Dollar,no,Influencer blogs,yes,BAD,328.63,Pre-Approved EMI,32
Japan,3.9,204,297,Rakuten,Mia Foley,Payment Gateways,B2C AND C2C,sports goods,Refunded,RETURNED,41934,8554536,6290.1,15%,18%,1539816.48,8548245.9,35643.9,7014719.52,24-10-2023,28-10-2023,1.2,app,no,Xpressbees,41934,Nagoya,NEW,Next-Day Delivery,Fitness & Training,Japanese Yen,yes,Influencer Marketing,no,GOOD,419.34,BNPL (Buy Now Pay Later),41
UK,2.9,188,298,Tesco,Jasper Harrington,COD,B2C,clothing,Cancelled,IN TRANSIT,34757,6534316,5213.55,15%,18%,1176176.88,6529102.45,29543.45,5358139.12,25-10-2023,29-10-2023,2.5,Website,yes,Blue Dart,34757,London,NEW,STANDARD,Dresses,British Pound Sterling,no,Influencer blogs,no,WORST,347.57,EMI Declined,33
South Korea,4.2,132,299,Naver Shopping,Leila Mori,Cryptocurreny,B2C AND C2C,Fashion,Failed,DELIVERED,32288,4262016,4843.2,15%,18%,767162.88,4257172.8,27444.8,3494853.12,26-10-2023,30-10-2023,1.1,Direct,no,FedEx,32288,Seoul,RETURNING,EXPRESS,Sneakers,South Korean Won,yes,directly,yes,EXCELLENT,322.88,Bank EMI,23
India,2.4,153,300,Jio Mart,Suri Reddy,UPI,B2C,household,Refunded,DELIVERED,38252,5852556,5737.8,15%,18%,1053460.08,5846818.2,32514.2,4799095.92,27-10-2023,31-10-2023,2.3,Social Media,yes,Blue Dart,38252,Bengaluru,NEW,Locker Delivery,Floor cleaners,Indian Rupee,no,Influencer Marketing,yes,GOOD,382.52,YES,42
Germany,2.1,175,301,media market,Suri Noorani,Net Banking,B2C,audio/video,Cancelled,DELIVERED,24350,4261250,3652.5,15%,18%,767025,4257597.5,20697.5,3494225,28-10-2023,01-11-2023,4.6,Direct,no,FedEx,24350,Cologne,RETURNING,EXPRESS,Headphones & Earphones,Euro,yes,Social Media,no,BAD,243.5,NO,50
Indonesia,1.2,177,302,Tokopedia,Amira Harrington,Debit Card,B2C AND C2C,ELECTRONICS,Paid,IN TRANSIT,24378,4314906,3656.7,15%,18%,776683.08,4311249.3,20721.3,3538222.92,29-10-2023,02-11-2023,4.4,Social Media,yes,Shadowfax,24378,Surabaya,RETURNING,Next-Day Delivery,Streaming Devices,Indonesian Rupiah,no,YouTube ads,yes,GOOD,243.78,NO,21
Canada,1.5,232,303,Best Buy,Zane Rossi,Digital Wallets,B2C,gaming,Pending,RETURNED,33882,7860624,5082.3,15%,18%,1414912.32,7855541.7,28799.7,6445711.68,30-10-2023,03-11-2023,1.7,app,no,DHL Express,33882,Toronto,RETURNING,Scheduled Delivery,Mobile Gaming,Dollar,yes,google ads,yes,WORST,338.82,YES,40
Australia,1,251,304,Woolworths,Sofia Gonzalez,BNPL,B2C,pet supplies,Paid,RETURNED,38784,9734784,5817.6,15%,18%,1752261.12,9728966.4,32966.4,7982522.88,31-10-2023,04-11-2023,2.9,Website,yes,Ecom Express,38784,melbourne,NEW,Locker Delivery,Dog Food,Dollar,no,email,no,EXCELLENT,387.84,BNPL (Buy Now Pay Later),47
Brazil,1.3,137,305,Mercado Livre,Milan Shepherd,UPI,B2C AND C2C,auto parts,Cancelled,IN TRANSIT,21004,2877548,3150.6,15%,18%,517958.64,2874397.4,17853.4,2359589.36,01-11-2023,05-11-2023,3.9,app,no,Xpressbees,21004,São Paulo,RETURNING,EXPRESS,Engine & Components,Brazilian Real,yes,Influencer blogs,yes,WORST,210.04,Not Available,38
Mexico,1.2,128,306,Mercado Libre,Zion Harrington,Digital Wallets,B2C AND C2C,ELECTRONICS,Pending,DELIVERED,43549,5574272,6532.35,15%,18%,1003368.96,5567739.65,37016.65,4570903.04,02-11-2023,06-11-2023,4.7,Social Media,yes,Ecom Express,43549,Guadalajara,NEW,STANDARD,Earphones & Headphones,mexican Peso,no,Social Media,no,EXCELLENT,435.49,Bank EMI,43
italy,0.8,183,307,Zalando,Aisha Joshi,Credit Card,B2C,accessories,Refunded,IN TRANSIT,25084,4590372,3762.6,15%,18%,826266.96,4586609.4,21321.4,3764105.04,03-11-2023,07-11-2023,3.5,Direct,no,Blue Dart,25084,Rome,RETURNING,EXPRESS,Hats & Caps,Euro,no,directly,yes,GOOD,250.84,Debit Card EMI,36
Russia,0.7,157,308,Yandex Market,Nia Kassem,Payment Gateways,B2C,office supplies,Cancelled,RETURNED,40681,6386917,6102.15,15%,18%,1149645.06,6380814.85,34578.85,5237271.94,04-11-2023,08-11-2023,1.8,Social Media,no,FedEx,40681,Moscow,NEW,STANDARD,Paper Products,Russian Ruble,no,Influencer blogs,no,BAD,406.81,Pre-Approved EMI,27
Spain,0.7,215,309,El Corte Inglés,Amira Patel,COD,B2C,Luxury goods,Failed,DELIVERED,39963,8592045,5994.45,15%,18%,1546568.1,8586050.55,33968.55,7045476.9,05-11-2023,09-11-2023,4.2,app,yes,Blue Dart,39963,Barcelona,RETURNING,Locker Delivery,Luxury Watches,Euro,yes,Influencer Marketing,yes,BAD,399.63,Card EMI,34
Turkey,0.6,141,310,Hepsiburada,Jasper Thompson,Cryptocurreny,B2C,HOME,Refunded,IN TRANSIT,46930,6617130,7039.5,15%,18%,1191083.4,6610090.5,39890.5,5426046.6,06-11-2023,10-11-2023,3,Website,yes,Blue Dart,46930,Istanbul,NEW,Next-Day Delivery,Furniture,Turkish Lira,no,Social Media,no,GOOD,469.3,BNPL (Buy Now Pay Later),25
Netherlands,0.5,190,311,Bol.com,Saanvi Laurent,UPI,B2C AND C2C,toys,Cancelled,IN TRANSIT,33533,6371270,5029.95,15%,18%,1146828.6,6366240.05,28503.05,5224441.4,07-11-2023,11-11-2023,1,app,yes,Shadowfax,33533,Amsterdam,RETURNING,International Delivery,Dolls & Dollhouses,Euro,yes,email,yes,WORST,335.33,Pre-Approved EMI,22
Sweden,0.5,135,312,CDON,Cruz Nakamura,Debit Card,B2C AND C2C,games,Paid,DELIVERED,44043,5945805,6606.45,15%,18%,1070244.9,5939198.55,37436.55,4875560.1,08-11-2023,12-11-2023,1.5,Website,yes,DHL Express,44043,Stockholm,NEW,Scheduled Delivery,PlayStation,Swedish Krona,no,google ads,no,EXCELLENT,440.43,YES,20
singapore,0.4,211,313,Amazon SG,Mei Morales,Cryptocurreny,B2C,fashion,Pending,RETURNED,34624,7305664,5193.6,15%,18%,1315019.52,7300470.4,29430.4,5990644.48,09-11-2023,13-11-2023,2,Website,no,Ecom Express,34624,singapore,NEW,EXPRESS,Sunglasses,Dollar,yes,Social Media,yes,EXCELLENT,346.24,NO,31
France,2.6,134,314,Fnac,Avani Vaughn,COD,B2C,music,Paid,IN TRANSIT,44882,6014188,6732.3,15%,18%,1082553.84,6007455.7,38149.7,4931634.16,10-11-2023,14-11-2023,0.3,Direct,yes,Xpressbees,44882,Paris,RETURNING,STANDARD,Pop,Euro,no,Social Media,no,WORST,448.82,Yes,30
Australia,1,209,315,Catch,Nina Shukla,Credit Card,B2C,toys,Cancelled,DELIVERED,44967,9398103,6745.05,15%,18%,1691658.54,9391357.95,38221.95,7706444.46,11-11-2023,15-11-2023,3.6,Direct,no,DTDC,44967,sydney,NEW,Next-Day Delivery,Plush Toys,Dollar,yes,Influencer blogs,yes,GOOD,449.67,No,39
Brazil,1.3,218,316,Magalu,Esme Flynn,Payment Gateways,B2C,fashion,Pending,DELIVERED,35001,7630218,5250.15,15%,18%,1373439.24,7624967.85,29750.85,6256778.76,12-11-2023,16-11-2023,4.5,Social Media,yes,FedEx,35001,Rio de Janeiro,RETURNING,International Delivery,Sneakers,Brazilian Real,no,google ads,no,BAD,350.01,Not Available,32
Mexico,1.2,113,317,Liverpool,Dante Takahashi,UPI,B2C,Apparel,Refunded,RETURNED,36951,4175463,5542.65,15%,18%,751583.34,4169920.35,31408.35,3423879.66,13-11-2023,17-11-2023,2.4,app,no,Blue Dart,36951,Mexico City,NEW,EXPRESS,Scarves & Stoles,Mexican Peso,yes,email,yes,GOOD,369.51,Pre-Approved EMI,41
italy,0.8,178,318,ePrice,Anjali Banerjee,BNPL,B2C,tech gadgets,Cancelled,IN TRANSIT,49481,8807618,7422.15,15%,18%,1585371.24,8800195.85,42058.85,7222246.76,14-11-2023,18-11-2023,4,app,no,FedEx,49481,Milan,RETURNING,Locker Delivery,Soundbars,Euro,no,Influencer blogs,no,BAD,494.81,Card EMI,33
Russia,0.7,150,319,Wildberries,Silas Shepherd,COD,B2C AND C2C,tech gadgets,Failed,DELIVERED,25372,3805800,3805.8,15%,18%,685044,3801994.2,21566.2,3120756,15-11-2023,19-11-2023,5,Social Media,yes,Blue Dart,25372,Saint Petersburg,NEW,International Delivery,Pop Sockets,Russian Ruble,yes,Influencer Marketing,yes,WORST,253.72,Debit Card EMI,23
Spain,0.7,139,320,PCComponentes,Farah Darwish,Payment Gateways,B2C,tech gadgets,Refunded,RETURNED,27272,3790808,4090.8,15%,18%,682345.44,3786717.2,23181.2,3108462.56,16-11-2023,20-11-2023,2.1,Social Media,yes,Ecom Express,27272,Madrid,RETURNING,Next-Day Delivery,Soundbars,Euro,no,YouTube ads,no,EXCELLENT,272.72,Yes,42
Turkey,0.6,248,321,Trendyol,Ava Bennett,Debit Card,B2C,fashion,Cancelled,IN TRANSIT,24227,6008296,3634.05,15%,18%,1081493.28,6004661.95,20592.95,4926802.72,17-11-2023,21-11-2023,1.6,app,no,Xpressbees,24227,Ankara,NEW,STANDARD,Sunglasses,Turkish Lira,no,directly,yes,GOOD,242.27,BNPL (Buy Now Pay Later),50
Netherlands,0.5,177,322,Coolblue,Isaac Desai,Cryptocurreny,B2C,computers,Paid,IN TRANSIT,39641,7016457,5946.15,15%,18%,1262962.26,7010510.85,33694.85,5753494.74,18-11-2023,22-11-2023,2.7,Website,no,DTDC,39641,Rotterdam,RETURNING,EXPRESS,Laptops & Notebooks,Euro,yes,email,no,BAD,396.41,Debit Card EMI,21
Sweden,0.5,246,323,Elgiganten,Liora Dubois,COD,B2C,tv&audio,Pending,RETURNED,27656,6803376,4148.4,15%,18%,1224607.68,6799227.6,23507.6,5578768.32,19-11-2023,23-11-2023,1.2,app,yes,Shadowfax,27656,Gothenburg,NEW,Locker Delivery,Smart TVs,Swedish Krona,yes,YouTube ads,yes,GOOD,276.56,EMI Declined,40
singapore,0.4,205,324,Qoo10,Farah Hollis,Credit Card,B2C AND C2C,beauty,Paid,DELIVERED,24225,4966125,3633.75,15%,18%,893902.5,4962491.25,20591.25,4072222.5,20-11-2023,24-11-2023,2.5,Direct,yes,FedEx,24225,singapore,RETURNING,EXPRESS,Makeup Kits & Combo,Dollar,no,email,no,WORST,242.25,Card EMI,47
France,2.6,126,325,Cdiscount,Ibrahim Flynn,Payment Gateways,B2C,furniture,Cancelled,DELIVERED,43334,5460084,6500.1,15%,18%,982815.12,5453583.9,36833.9,4477268.88,21-11-2023,25-11-2023,1.1,Social Media,no,FedEx,43334,Marseille,NEW,International Delivery,Sofas & Couches,Euro,no,Social Media,yes,EXCELLENT,433.34,Yes,38
China,50,138,326,Alibaba,Suri Johansson,UPI,B2B,Apparel,Pending,RETURNED,35860,4948680,5379,15%,18%,890762.4,4943301,30481,4057917.6,22-11-2023,26-11-2023,2.3,Social Media,no,DHL Express,35860,Shanghai,RETURNING,Next-Day Delivery,Baby & Toddler,Chinese Yuan,yes,directly,no,GOOD,358.6,No,43
US,27,224,327,eBay,Nina Kim,BNPL,B2C AND C2C,collectibles,Refunded,IN TRANSIT,20946,4691904,3141.9,15%,18%,844542.72,4688762.1,17804.1,3847361.28,23-11-2023,27-11-2023,4.6,Direct,yes,Blue Dart,20946,Los Angeles,NEW,STANDARD,Vintage Posters,Dollar,yes,google ads,yes,BAD,209.46,Not Available,36
Japan,3.9,225,328,Yahoo! Shopping,Rohan Persaud,COD,B2C,home goods,Cancelled,DELIVERED,43161,9711225,6474.15,15%,18%,1748020.5,9704750.85,36686.85,7963204.5,24-11-2023,28-11-2023,4.4,app,yes,Shadowfax,43161,Tokyo,RETURNING,EXPRESS,Home Décor,Japanese Yen,yes,directly,no,GOOD,431.61,Pre-Approved EMI,27
UK,2.9,222,329,Amazon UK,Norah Zuniga,Payment Gateways,B2C AND C2C,BOOKS,Failed,DELIVERED,24900,5527800,3735,15%,18%,995004,5524065,21165,4532796,25-11-2023,29-11-2023,1.7,Website,no,DHL Express,24900,Manchester,NEW,International Delivery,Business & Finance,British Pound Sterling,no,google ads,yes,WORST,249,Card EMI,34
South Korea,4.2,180,330,Gmarket,Gemma Sato,Net Banking,B2C AND C2C,ELECTRONICS,Refunded,RETURNED,48430,8717400,7264.5,15%,18%,1569132,8710135.5,41165.5,7148268,26-11-2023,30-11-2023,2.9,app,no,Ecom Express,48430,Busan,RETURNING,Next-Day Delivery,Streaming Devices,South Korean Won,no,email,no,EXCELLENT,484.3,Debit Card EMI,25
India,2.4,297,331,Flipkart,Mei Fitzgerald,Debit Card,B2C AND C2C,BOOKS,Cancelled,IN TRANSIT,44683,13270851,6702.45,15%,18%,2388753.18,13264148.55,37980.55,10882097.82,27-11-2023,01-12-2023,3.9,Website,yes,Xpressbees,44683,delhi,NEW,EXPRESS,Children’s Books,Indian Rupee,yes,Influencer blogs,no,GOOD,446.83,Bank EMI,22
Germany,2.1,192,332,OTTO,Zayd Mohammed,Digital Wallets,B2C,furniture,Paid,DELIVERED,30746,5903232,4611.9,15%,18%,1062581.76,5898620.1,26134.1,4840650.24,28-11-2023,02-12-2023,4.7,Direct,yes,DTDC,30746,Hamburg,RETURNING,Next-Day Delivery,Wardrobes,Euro,no,Social Media,no,BAD,307.46,BNPL (Buy Now Pay Later),29
